labID,	age,	error,	depth,	cc
Core top,	-31,	1,	795,	0
WIS-1545,	690,	70,	831,	1
WIS-1544,	1730,	70,	869,	1
WIS-1543,	2450,	70,	903,	1
WIS-1542,	3830,	70,	944,	1
GSC-3615,	6510,	110,	972,	1
