labID,	age,	error,	depth,	cc
Core top,	-44,	1,	0,	0
Biostratigraphic_ pollen,	100,	20,	11.5,	0
Beta-84093,	310,	70,	29,	1
Beta-81873,	1200,	60,	48,	1
