labID,	age,	error,	depth,	cc
Core top,	-30,	1,	965,	0
Biostratigraphic_ pollen,	150,	50,	995,	0
Radiocarbon_ reservoir correction,	1430,	160,	1017.5,	1
Radiocarbon_ reservoir correction,	3975,	160,	1057,	1
Radiocarbon_ reservoir correction,	4765,	140,	1109,	1
Radiocarbon_ reservoir correction,	5800,	320,	1156,	1
Radiocarbon_ reservoir correction,	7170,	240,	1217.5,	1
Radiocarbon_ reservoir correction,	7790,	220,	1256,	1
Radiocarbon_ reservoir correction,	9680,	240,	1296,	1
SI-5229,	11470,	100,	1341.5,	1
SI-5230,	11470,	100,	1341.5,	1
Radiocarbon_ reservoir correction,	11520,	230,	1385,	1
