"","datasetid","siteid","sitename","chroncontrolid","type","age","depth","limityounger","limitolder","error","cc"
"1",3482,1598,"Lake of the Clouds",7976,"Radiocarbon, reservoir correction",780,17.9,600,960,180,1
"2",3482,1598,"Lake of the Clouds",7977,"Radiocarbon, reservoir correction",1410,58.5,1270,1550,140,1
"3",3482,1598,"Lake of the Clouds",7978,"Radiocarbon, reservoir correction",2320,106.2,2120,2520,200,1
"4",3482,1598,"Lake of the Clouds",7979,"Radiocarbon, reservoir correction",2930,137.5,2770,3090,160,1
"5",3482,1598,"Lake of the Clouds",7980,"Radiocarbon, reservoir correction",3230,164.9,3090,3370,140,1
"6",3482,1598,"Lake of the Clouds",7981,"Radiocarbon, reservoir correction",3910,196.1,3750,4070,160,1
"7",3482,1598,"Lake of the Clouds",7982,"Radiocarbon, reservoir correction",4390,228.8,4250,4530,140,1
"8",3482,1598,"Lake of the Clouds",7983,"Radiocarbon, reservoir correction",4960,251.8,4820,5100,140,1
"9",3482,1598,"Lake of the Clouds",7984,"Radiocarbon, reservoir correction",5310,266.5,5110,5510,200,1
"10",3482,1598,"Lake of the Clouds",7985,"Radiocarbon, reservoir correction",5740,283.7,5600,5880,140,1
"11",3482,1598,"Lake of the Clouds",7986,"Radiocarbon, reservoir correction",6150,301.9,6010,6290,140,1
"12",3482,1598,"Lake of the Clouds",7987,"Radiocarbon, reservoir correction",6300,321.9,6140,6460,160,1
"13",3482,1598,"Lake of the Clouds",7988,"Radiocarbon, reservoir correction",6510,331.3,6330,6690,180,1
"14",3482,1598,"Lake of the Clouds",7989,"Radiocarbon, reservoir correction",6680,340.5,6520,6840,160,1
"15",3482,1598,"Lake of the Clouds",7990,"Radiocarbon, reservoir correction",6940,352,6780,7100,160,1
"16",3482,1598,"Lake of the Clouds",7991,"Radiocarbon, reservoir correction",7190,367.6,7030,7350,160,1
"17",3482,1598,"Lake of the Clouds",7992,"Radiocarbon, reservoir correction",7380,381,7220,7540,160,1
"18",3482,1598,"Lake of the Clouds",7993,"Radiocarbon, reservoir correction",7900,399.4,7740,8060,160,1
"19",3482,1598,"Lake of the Clouds",7994,"Radiocarbon, reservoir correction",7880,407.5,7720,8040,160,1
"20",3482,1598,"Lake of the Clouds",7995,"Radiocarbon, reservoir correction",8080,415,7940,8220,140,1
"21",3482,1598,"Lake of the Clouds",7996,"Radiocarbon, reservoir correction",8190,423.6,7990,8390,200,1
"22",3482,1598,"Lake of the Clouds",7997,"Radiocarbon, reservoir correction",8260,432.1,8100,8420,160,1
"23",3482,1598,"Lake of the Clouds",7998,"Radiocarbon, reservoir correction",8410,439.4,8210,8610,200,1
"24",3482,1598,"Lake of the Clouds",7999,"Radiocarbon, reservoir correction",8620,446.4,8460,8780,160,1
"25",3482,1598,"Lake of the Clouds",8000,"Radiocarbon, reservoir correction",8760,450.9,8560,8960,200,1
"26",3482,1598,"Lake of the Clouds",8001,"Radiocarbon, reservoir correction",8740,459.5,8540,8940,200,1
"27",3482,1598,"Lake of the Clouds",8002,"Radiocarbon, reservoir correction",8730,467.7,8530,8930,200,1
"28",3482,1598,"Lake of the Clouds",8003,"Radiocarbon, reservoir correction",9090,476.1,8870,9310,220,1
