labID,	age,	error,	depth,	cc
Core top,	0,	1,	0,	0
GSC-2807,	1870,	180,	15.5,	1
GSC-2744,	2930,	130,	25.5,	1
GSC-2518,	5100,	180,	30.5,	1
GSC-2517,	4360,	150,	55.5,	1
GSC-2515,	5640,	140,	80.5,	1
GSC-2399,	7870,	280,	105.5,	1
GSC-2749,	10200,	190,	118,	1
GSC-2514,	11500,	250,	130.5,	1
GSC-2826,	9220,	140,	143,	1
GSC-2503,	10500,	200,	155.5,	1
GSC-2502,	10900,	210,	180.5,	1
GSC-2489,	11700,	150,	205.5,	1
GSC-2500,	12600,	270,	230.5,	1
GSC-2491,	12400,	210,	255.5,	1
GSC-2846,	12800,	320,	265.5,	1
GSC-2388,	15800,	450,	275.5,	1
GSC-2868,	17700,	380,	280.5,	1
GSC-2830,	16800,	320,	295.5,	1
GSC-2482,	20200,	510,	305.5,	1
GSC-2790,	20200,	660,	320.5,	1
GSC-2710,	24900,	600,	329.75,	1
