labID,	age,	error,	depth,	cc
Core top,	0,	1,	0,	0
Beta-49370,	2100,	100,	85,	1
Beta-49371,	4030,	100,	177.5,	1
Beta-49372,	5790,	130,	282.5,	1
TO-4017,	8700,	150,	352.5,	1
TO-4018,	9870,	120,	382.5,	1
