labid,age,error,depth,cc
Core top,0,500,0,0
Beta-5882,2790,120,36,1
Beta-5883,5150,280,76,1
Beta-4560,7320,140,116,1
Beta-4972,7895,95,136,1
Beta-5884,9830,120,156,1
Beta-4561,10350,160,186,1
Beta-5885,11140,90,226,1
Beta-4973,12845,135,256,1
