"","datasetid","siteid","sitename","chroncontrolid","type","age","depth","limityounger","limitolder","error","cc"
"1",3485,1669,"McNearney Lake",8082,"Lead-210",-23,0.75,-23,-23,0,0
"2",3485,1669,"McNearney Lake",8083,"Lead-210",-8,1.75,-8,-8,0,0
"3",3485,1669,"McNearney Lake",8084,"Lead-210",12,2.75,12,12,0,0
"4",3485,1669,"McNearney Lake",8085,"Lead-210",28,3.75,28,28,0,0
"5",3485,1669,"McNearney Lake",8086,"Lead-210",44,4.75,44,44,0,0
"6",3485,1669,"McNearney Lake",8087,"Lead-210",56,5.75,56,56,0,0
"7",3485,1669,"McNearney Lake",8088,"Lead-210",64,6.75,64,64,0,0
"8",3485,1669,"McNearney Lake",8089,"Lead-210",71,7.75,71,71,0,0
"9",3485,1669,"McNearney Lake",8090,"Lead-210",77,8.75,77,77,0,0
"10",3485,1669,"McNearney Lake",8091,"Lead-210",87,10.75,87,87,0,0
