labid,age,error,depth,cc
Core top,-44,1,0,0
unassigned,-39,1,1,0
unassigned,-36,1,2,0
unassigned,-33,1,3,0
unassigned,-29,1,4,0
unassigned,-22,1,5,0
unassigned,-16,2,6,0
unassigned,-8,3,7,0
unassigned,0.6,4,8,0
unassigned,4,4,9,0
unassigned,12,5,10,0
unassigned,30,8,11,0
unassigned,35,9,12,0
unassigned,42,11,13,0
unassigned,45,12,14,0
unassigned,49,13,15,0
unassigned,52,13,16,0
unassigned,57,15,17,0
unassigned,61,16,18,0
unassigned,66,17,19,0
unassigned,71,19,20,0
unassigned,78,21,21,0
unassigned,82,22,23,0
unassigned,87,24,24,0
Ambrosia rise,206,56,39,0
unassigned,920,60,76,1
unassigned,1300,60,90,1
