labID,	age,	error,	depth,	cc
Core top,	-30,	1,	740,	0
Biostratigraphic_ pollen,	180,	40,	820,	0
Radiocarbon_ reservoir correction,	1185,	20,	870,	1
Radiocarbon_ reservoir correction,	3165,	75,	975,	1
Radiocarbon_ reservoir correction,	4735,	90,	1068.5,	1
Radiocarbon_ reservoir correction,	6175,	100,	1210,	1
Radiocarbon_ reservoir correction,	7480,	75,	1312.5,	1
Radiocarbon_ reservoir correction,	9580,	210,	1442.5,	1
Radiocarbon_ reservoir correction,	9840,	140,	1612.5,	1
Radiocarbon_ reservoir correction,	10500,	260,	1832.5,	1
Radiocarbon_ reservoir correction,	10960,	395,	1982.5,	1
Radiocarbon_ reservoir correction,	12450,	410,	2102.5,	1
