labid,age,error,depth,cc
Core top,-65,1,0,0
Lead-210,-58,1,0.5,0
Lead-210,-55.3,1,1.5,0
Lead-210,-51.8,1,2.25,0
Lead-210,-47.1,1,3.25,0
Lead-210,-40.2,1,4.75,0
Lead-210,-27,1,5.75,0
Lead-210,-21,1,19.25,0
Lead-210,-17.6,1,20.25,0
Lead-210,-7.1,1,22.75,0
Lead-210,-2,1,24.75,0
Lead-210,2.5,1,26.75,0
Lead-210,10.3,1,28.75,0
Lead-210,19.2,1,31.75,0
Lead-210,26.6,1,34.75,0
Lead-210,47.5,1,38.75,0
Beta-286597,130,40,44.5,1
Beta-325704,4230,30,65.5,1
Beta-296735,4030,40,87.5,1
Beta-286598,4540,40,111.5,1
Beta-296736,5310,40,187,1
Beta-286599,5950,40,244.5,1
Beta-286600,6e3,40,250.5,1
