labID,	age,	error,	depth,	cc
Core top,	0,	1,	0,	0
Beta-28318,	1540,	80,	25,	1
Beta-27999,	2530,	70,	40,	1
Beta-28000,	5200,	100,	80,	1
Beta-28001,	7290,	90,	100,	1
Beta-25525,	8180,	150,	116.5,	1
