labid,age,error,depth,cc
Core top,-50,6,0,0
AA-22230,1154,40,109.5,1
AA-30943,1990,50,149.5,1
AA-22231,2454,42,200.5,1
AA-22232,4058,44,309,1
Tephra,6730,40,438.5,0
Beta-87049,7680,70,458,1
