labid,age,error,depth,cc
Core top,-62,1,0,0
Beta-365555,740,30,30,1
Beta-337811,2850,30,65,1
Beta-337812,4110,30,109,1
Beta-365556,4690,30,124,1
Beta-335265,6240,40,140,1
Beta-335266,8160,40,234,1
Beta-335267,9220,40,321,1
