labID,	age,	error,	depth,	cc
Core top,	-51,	1,	1467,	0
Ambrosia rise,	90,	10,	1569,	0
CAMS-83724,	1530,	50,	1631,	1
CAMS-78288,	2410,	50,	1746.5,	1
CAMS-77858,	3630,	40,	2001.3,	1
CAMS-77860,	4730,	60,	2365,	1
CAMS-90103,	6528,	35,	2730.5,	1
CAMS-77859,	6840,	50,	2865.5,	1
CAMS-90100,	7995,	40,	2935.5,	1
CAMS-90101,	9430,	45,	2971,	1
CAMS-79289,	8130,	120,	2977.5,	1
CAMS-90102,	9510,	130,	2989.5,	1
CAMS-83725,	10255,	45,	2994,	1
