depth	min	max	median	mean
0.5	-43	-32	-35	-36
1.5	-33	-5	-9	-12
2.5	-24	23	18	13
3.5	-15	51	44	37
5.5	45	149	123	117
6.5	106	272	208	203
7.5	143	397	297	290
10.5	348	748	566	563
12.5	581	1094	776	791
13.5	606	1368	875	905
14.5	626	1663	971	1019
15.5	683	1842	1069	1123
21	986	2470	1619	1648
25	1197	2904	2033	2039
31	1783	3270	2638	2608
35	2154	3479	3046	2982
41	3275	3680	3508	3505
45	3418	3940	3653	3660
51	3576	4159	3855	3859
55	3665	4293	3993	3989
61	3859	4429	4187	4177
