labid,age,error,depth,cc
Core top,10,10,610,0
Biostratigraphic_ pollen,100,30,660,0
Radiocarbon_ reservoir correction,520,120,725,1
Radiocarbon_ reservoir correction,2325,130,950,1
Radiocarbon_ reservoir correction,3495,140,1155,1
