labID,	age,	error,	depth,	cc
Core top,	0,	1,	0,	0
Biostratigraphic_ pollen,	100,	50,	12.5,	0
Hel-1976,	470,	110,	29.5,	1
Hel-2082,	1100,	90,	50,	1
Hel-1816,	1150,	120,	69.5,	1
Hel-2083,	1830,	90,	95,	1
Hel-1788,	1630,	90,	119.5,	1
Hel-2084,	2260,	80,	145,	1
Hel-1819,	2230,	130,	169.5,	1
Hel-2085,	2850,	130,	183.5,	1
Hel-2086,	2950,	80,	197.5,	1
Hel-1817,	3340,	120,	217.5,	1
Hel-2087,	4320,	90,	250.25,	1
Hel-1789,	4300,	110,	269.5,	1
Hel-1818,	4670,	140,	321.5,	1
Hel-1797,	5140,	110,	331.5,	1
Hel-1912,	6460,	110,	377,	1
Hel-1913,	7250,	130,	396,	1
Hel-1914,	9110,	110,	432,	1
Hel-1790,	8970,	160,	448.5,	1
Hel-1791,	9460,	180,	481,	1
Hel-1798,	10080,	140,	486.75,	1
Hel-1799,	10210,	180,	488,	1
Hel-2081a,	10610,	130,	514.25,	1
Hel-2081b,	10900,	130,	514.25,	1
