labid,age,error,depth,cc
CAMS-6812,240,70,387.5,1
CAMS-9859,2800,140,486.5,1
CAMS-6818,8090,70,571,1
CAMS-6817,8110,90,571,1
CAMS-6819,8020,70,608,1
CAMS-6813,9540,90,729,1
CAMS-6814,10080,80,794,1
CAMS-6816,9770,90,870,1
CAMS-6815,10300,80,917.5,1
ETH-2893,11690,180,972.5,1
Core top,-34,1,316,0
European settlement horizon,60,10,344,0
