labid,age,error,depth,cc
Core top,-48,50,0,0
AA-45098,1373,47,81.5,1
AA-45099,1225,45,97.5,1
AA-45100,2603,41,165,1
AA-45101,2969,51,193,1
AA-45102,4054,43,289,1
AA-45103,4565,45,311,1
AA-38445,4917,88,344.5,1
AA-38446,5598,76,399.5,1
AA-38447,7100,59,552.5,1
AA-45104,9974,65,799,1
Beta125980,13250,80,873,1
Beta177159,10970,70,869,1
