"datasetid","siteid","sitename","chroncontrolid","type","age","depth","ageboundolder","ageboundyounger","limityounger","limitolder","error","cc"
2385,2303,"Silver Lake",6583,"Core top",-21,0,13190,-10,-21,-1,10,0
2385,2303,"Silver Lake",6585,"Radiocarbon, average of two or more dates",650,125,13190,-10,230,1070,420,1
2385,2303,"Silver Lake",6585,"Radiocarbon, average of two or more dates",650,125,13190,-10,230,1070,420,1
2385,2303,"Silver Lake",6585,"Radiocarbon, average of two or more dates",650,125,13190,-10,230,1070,420,1
2385,2303,"Silver Lake",6586,"Radiocarbon, average of two or more dates",1160,185,13190,-10,660,1660,500,1
2385,2303,"Silver Lake",6586,"Radiocarbon, average of two or more dates",1160,185,13190,-10,660,1660,500,1
2385,2303,"Silver Lake",6587,"Radiocarbon, reservoir correction",1310,205,13190,-10,464,2156,846,1
2385,2303,"Silver Lake",6588,"Radiocarbon, reservoir correction",3600,345,13190,-10,3176,4024,424,1
2385,2303,"Silver Lake",6589,"Radiocarbon, average of two or more dates",5090,425,13190,-10,4560,5620,530,1
2385,2303,"Silver Lake",6589,"Radiocarbon, average of two or more dates",5090,425,13190,-10,4560,5620,530,1
2385,2303,"Silver Lake",6590,"Radiocarbon, average of two or more dates",6150,525,13190,-10,5470,6830,680,1
2385,2303,"Silver Lake",6590,"Radiocarbon, average of two or more dates",6150,525,13190,-10,5470,6830,680,1
2385,2303,"Silver Lake",6591,"Radiocarbon, reservoir correction",9800,610,13190,-10,9380,10220,420,1
2385,2303,"Silver Lake",6592,"Deglaciation",16000,885,13190,-10,15000,17000,1000,0
