labid,age,error,depth,cc
Core top,-49,2,0,0
unassigned,-42,0.35856429,6,0
unassigned,-35,0.46943995,10,0
unassigned,-24,0.579352214,14,0
unassigned,-9,1.025466813,18,0
unassigned,10,2.091623355,22,0
unassigned,20,2.538552793,26,0
unassigned,21,3.405459364,30,0
unassigned,42,4.798166845,34,0
unassigned,68,5.27558469,38,0
unassigned,86,6.89477253,42,0
unassigned,95,8.907618578,46,0
Ambrosia rise,300,50,82,0
AA 37215,666,60,95,1
AA 37215,666,60,95,1
AA 37215,666,60,95,1
AA 35298,705,40,110,1
AA 35298,705,40,110,1
AA 35298,705,40,110,1
AA 35299,1090,40,130,1
AA 35299,1090,40,130,1
AA 35299,1090,40,130,1
AA 37216,1782,42,169,1
AA 37216,1782,42,169,1
AA 37216,1782,42,169,1
AA 35300,2305,45,235,1
AA 35300,2305,45,235,1
AA 35300,2305,45,235,1
