labid,age,error,depth,cc
Core top,-53,1,0,0
unassigned,-52,1,0.5,0
unassigned,-47.2,1,1.56,0
unassigned,-43,1,2.62,0
unassigned,-38.5,1,3.68,0
unassigned,-33.5,1,4.74,0
unassigned,-28.4,1,5.8,0
unassigned,-23.01,1,6.86,0
unassigned,-17.89,2,7.92,0
unassigned,-13.8,2,8.98,0
unassigned,-10.33,2,10.04,0
unassigned,-7.57,3,11.1,0
unassigned,-4.31,3,12.16,0
unassigned,-0.85,3,13.22,0
unassigned,2.7,4,14.28,0
unassigned,6.44,4,15.34,0
unassigned,10.19,5,16.4,0
unassigned,13.25,5,17.46,0
unassigned,16.38,6,18.52,0
unassigned,19.3,6,19.58,0
unassigned,22.72,7,20.64,0
unassigned,26.95,8,21.7,0
unassigned,30.47,8,22.76,0
unassigned,34.73,9,23.82,0
unassigned,37.64,10,24.88,0
unassigned,41.52,11,25.94,0
unassigned,45.62,12,27,0
unassigned,50.31,13,28.06,0
unassigned,53.85,14,29.12,0
unassigned,57.66,15,30.18,0
unassigned,61.27,16,31.24,0
unassigned,64.03,16,32.3,0
unassigned,70.15,18,33.36,0
unassigned,75.15,20,34.42,0
unassigned,82.62,22,35.48,0
unassigned,91.03,25,36.54,0
unassigned,97.57,27,37.6,0
Beta 228502,180,40,45,1
Beta 283271,1170,40,63,1
Beta 228504,1590,40,81,1
Beta 283272,1820,40,89,1
