labid,age,error,depth,cc
Core top,-40,10,0,0
Beta157491,8900,50,1005,1
AA45688,11494,91,1074,1
AA45687,11654,83,1086,1
AA45685,12283,83,1095.5,1
AA45686,12526,94,1105.5,1
Beta157492,13210,90,1125.5,1
Beta153148,22870,90,1255.5,1
