"datasetid","siteid","sitename","chroncontrolid","type","age","depth","ageboundolder","ageboundyounger","limityounger","limitolder","error","cc"
3029,2932,"Wolf Creek",7494,"Radiocarbon",9150,431,20500,9000,9000,9300,150,1
3029,2932,"Wolf Creek",7495,"Radiocarbon",10080,489,20500,9000,9910,10250,170,1
3029,2932,"Wolf Creek",7496,"Radiocarbon",10534,497,20500,9000,10334,10734,200,1
3029,2932,"Wolf Creek",7497,"Radiocarbon",11040,508,20500,9000,10875,11205,165,1
3029,2932,"Wolf Creek",7498,"Radiocarbon",11270,552,20500,9000,11050,11490,220,1
3029,2932,"Wolf Creek",7499,"Radiocarbon",11722,596,20500,9000,11557,11887,165,1
3029,2932,"Wolf Creek",7500,"Radiocarbon",12240,718,20500,9000,12070,12410,170,1
3029,2932,"Wolf Creek",7501,"Radiocarbon",13350,777,20500,9000,13080,13620,270,1
3029,2932,"Wolf Creek",7502,"Radiocarbon",13510,808,20500,9000,13320,13700,190,1
3029,2932,"Wolf Creek",7503,"Radiocarbon",13670,850,20500,9000,13460,13880,210,1
3029,2932,"Wolf Creek",7504,"Radiocarbon",14720,892,20500,9000,14510,14930,210,1
3029,2932,"Wolf Creek",7505,"Radiocarbon",20500,965,20500,9000,20100,20900,400,1
