labID,	age,	error,	depth,	cc
Core top,	-46,	48,	0,	0
CAMS-30531,	3600,	70,	13,	1
CAMS-30532,	4690,	70,	25,	1
CAMS-30533,	5910,	50,	38,	1
CAMS-30535,	6150,	70,	46,	1
CAMS-30534,	6320,	50,	46,	1
CAMS-34298,	8130,	50,	52.5,	1
CAMS-28649,	8370,	60,	56.5,	1
CAMS-30536,	8030,	50,	62,	1
CAMS-34299,	14630,	60,	66.5,	1
CAMS-31806,	16040,	70,	72,	1
CAMS-34300,	15690,	70,	75.5,	1
CAMS-30537,	32300,	470,	80,	1
CAMS-31807,	34790,	510,	84,	1
CAMS-34301,	36020,	450,	98.5,	1
CAMS-31808,	44400,	1,	111,	1
CAMS-28652,	52200,	1,	111,	1
