depth	min	max	median	mean
0	-115	85	-23	-21
5	-51	328	98	109
10	32	461	238	240
15	146	559	377	369
20	330	626	509	503
25	495	760	624	624
30	568	909	719	724
35	650	1025	819	823
40	766	1136	918	923
45	847	1469	1052	1078
50	926	1898	1200	1249
55	1011	2318	1352	1420
60	1103	2750	1500	1591
65	1200	3086	1653	1762
70	1299	3258	1781	1889
76	1393	3380	1901	2010
