labid,age,error,depth,cc
Core top,-30,1,0,0
Tephra,7627,150,773,0
QL-1614,8600,40,867.5,1
QL-1615,9580,60,962.5,1
QL-1616,10510,60,1062.5,1
QL-1617,11180,60,1107.5,1
QL-1618,11500,160,1127.5,1
QL-1649,13250,90,1156,1
QL-1619,14610,220,1169,1
