labid,age,error,depth,cc
Core top,-41,43,0,0
CAMS-11127,205,70,1,1
CAMS-11130,700,60,4.2,1
CAMS-11129,970,60,6.5,1
AA-8999,2110,50,16.1,1
CAMS-11702,3220,70,28.1,1
CAMS-11132,3000,60,29.1,1
CAMS-13845,3440,80,31.8,1
CAMS-14594,3890,60,37.1,1
AA-9000,4910,65,40.6,1
CAMS-11128,6530,60,55.1,1
CAMS-11131,6620,80,56.1,1
AA-9001,7590,70,69.6,1
AA-7589,7670,85,75.6,1
AA-9002,7945,85,75.6,1
AA-9003,8070,125,77.6,1
AA-9004,8910,70,89.6,1
AA-9012,9335,80,105.6,1
AA-9005,8845,65,105.6,1
AA-9011,9575,95,107.6,1
AA-9006,8935,80,107.6,1
AA-9013,10160,145,121.6,1
AA-9007,9655,130,121.6,1
AA-9008,10350,100,123.6,1
