labid,age,error,depth,cc
Core top,-49,1,0,0
unassigned,-42.5,0.699795276,4,0
unassigned,-35.3,0.798908355,8,0
unassigned,-26.7,0.96504709,12,0
unassigned,-13.6,1.338647167,16,0
unassigned,6.9,2.391917629,20,0
unassigned,30,4.813306816,24,0
unassigned,44.9,7.648937636,28,0
unassigned,53,9.885411087,32,0
unassigned,66.2,15.18420064,36,0
unassigned,78.7,23.11200786,40,0
unassigned,93.6,39.24942463,44,0
European settlement horizon,250,250,68,0
AA 41580,612,37,77,1
unassigned,926,63,91,1
AA 39348,1458,36,111,1
AA 39349,1735,43,125,1
unassigned,1962,38,139,1
