labid,age,error,depth,cc
Core top,0,30,0,0
Biostratigraphic_ pollen,100,30,45,0
GX-7887,280,115,59,1
GX-7888,2385,145,316,1
GX-7889,4615,180,403.5,1
GX-7890,6165,185,560,1
GX-7891,7670,185,608,1
GX-7892,9985,260,704,1
GX-7893,11460,580,830.5,1
