labid,age,error,depth,cc
Core top,-42,1,217,0
Ambrosia rise,150,20,228,0
Beta-61064,2460,60,280,1
Beta-61065,4500,80,330,1
Beta-61066,6960,90,372,1
Beta-61067,8460,80,475,1
CAMS-6597,11510,80,521,1
AA-9292,12790,110,655,1
CAMS-6598,14740,110,720,1
CAMS-6599,16240,100,826,1
CAMS-6600,16150,110,930,1
Beta-63185,18180,70,930,1
CAMS-6600,16150,110,930,1
Beta-63185,18180,70,930,1
