labid,age,error,depth,cc
Core top,-52,1,0,0
CAMS160884,345,30,85,1
CAMS160883,1775,30,265,1
CAMS160882,4770,40,633,1
CAMS160881,5860,40,726,1
CAMS160880,8220,130,916,1
