"datasetid","siteid","sitename","chroncontrolid","type","age","depth","ageboundolder","ageboundyounger","limityounger","limitolder","error","cc"
2961,2864,"Wintergreen Lake",7478,"Core top",-20,0,12500,0,-40,0,20,0
2961,2864,"Wintergreen Lake",7479,"Other dating methods",24,25,12500,0,4,44,20,0
2961,2864,"Wintergreen Lake",7481,"Radiocarbon",2450,196,12500,0,2315,2585,135,1
2961,2864,"Wintergreen Lake",7482,"Radiocarbon",3375,233.5,12500,0,3315,3435,60,1
2961,2864,"Wintergreen Lake",7483,"Radiocarbon",5500,366,12500,0,5325,5675,175,1
2961,2864,"Wintergreen Lake",7484,"Radiocarbon",8945,503.5,12500,0,8855,9035,90,1
2961,2864,"Wintergreen Lake",7485,"Radiocarbon",9740,538,12500,0,9140,10340,600,1
2961,2864,"Wintergreen Lake",7486,"Radiocarbon",11425,613.5,12500,0,11315,11535,110,1
2961,2864,"Wintergreen Lake",7487,"Radiocarbon",11920,651,12500,0,11150,12690,770,1
2961,2864,"Wintergreen Lake",7488,"Radiocarbon",13195,676,12500,0,13070,13320,125,1
