labid,age,error,depth,cc
Core top,-43,45,0,0
Tephra,2435,30,190.5,0
Tephra,6730,40,612.5,0
CAMS 34390,500,50,50.5,1
CAMS 34733,600,60,50.5,1
CAMS 34391,1210,40,87.5,1
CAMS 34734,1280,60,87.5,1
CAMS 34735,1650,50,123.5,1
CAMS 34392,2250,50,183.5,1
CAMS 34736,2340,60,183.5,1
CAMS 34737,3330,60,230.5,1
CAMS 34393,3430,50,230.5,1
CAMS 34738,4810,50,387.5,1
CAMS 34456,4740,50,387.5,1
CAMS 34394,5750,50,482.5,1
CAMS 34739,5940,60,482.5,1
CAMS 34395,7690,50,711,1
CAMS 34740,7760,60,711,1
CAMS 34741,7610,70,766.5,1
CAMS 34457,7720,60,775,1
CAMS 34742,7950,60,775,1
