labid,age,error,depth,cc
Core top,-49,1,0,0
unassigned,-38,0.748377828,4,0
unassigned,-28.8,0.799566262,8,0
unassigned,-20.1,1.051035436,12,0
unassigned,-8.5,1.201242664,16,0
unassigned,13.2,2.999173182,20,0
unassigned,51.5,3.437802198,24,0
unassigned,88.6,3.621544479,28,0
European settlement horizon,250,50,52,0
AA 41579,633,36,63,1
unassigned,862,38,71,1
AA 39346,932,41,85,1
unassigned,1138,38,101,1
AA 39347,2014,61,147,1
