labid,age,error,depth,cc
Core top,-54,56,0,0
14713,1150,40,219.5,1
OS-47508,2830,130,442,1
15248,4410,50,551,1
14539,6600,80,684.9,1
15249,8960,60,772,1
OS-45480,11600,320,879,1
